PRESUPUESTO DE INFRAESTRUCTURA - FYL APP,,,,,,
Postulacion CORFO Semilla,,,,,,
Estimacion a 12 meses,,,,,,
Fecha,2026-05-27,,,,,
Tipo de cambio (CLP/USD),950,,,,,
IVA digital servicios extranjeros,19%,,,,,
,,,,,,
SUPUESTOS EDITABLES,Valor,Unidad,Comentario,,,
Usuarios estimados ano 1,500,usuarios,Ajustar segun proyeccion comercial,,,
Oportunidades nuevas por dia,40,oport/dia,Convocatorias/licitaciones ingestadas,,,
Tokens Anthropic por mes,45000000,tokens/mes,Escenario medio (matching + resumenes),,,
Correos por mes,15000,correos/mes,Alertas + transaccionales,,,
,,,,,,
1. INFRAESTRUCTURA BASE (FIJO),Plan,USD/mes,USD/ano,IVA 19% (USD/ano),Total USD/ano,Total CLP/ano
Supabase,Pro,25,300,57,357,339150
Cloudflare Pages,Free,0,0,0,0,0
Cloudflare Workers,Paid,5,60,11.4,71.4,67830
Resend,Pro 50k correos,20,240,45.6,285.6,271320
SUBTOTAL INFRA BASE,,50,600,114,714,678300
,,,,,,
2. API ANTHROPIC (VARIABLE),Escenario,USD/mes,USD/ano,IVA 19% (USD/ano),Total USD/ano,Total CLP/ano
Escenario bajo (MVP),~7M tokens/mes,22,264,50.16,314.16,298452
Escenario medio (traccion) - USADO,~45M tokens/mes,130,1560,296.4,1856.4,1763580
Escenario alto (escala),~150M tokens/mes,400,4800,912,5712,5426400
SUBTOTAL ANTHROPIC (medio),,130,1560,296.4,1856.4,1763580
,,,,,,
3. OTROS COSTOS,Detalle,USD/mes,USD/ano,IVA 19% (USD/ano),Total USD/ano,Total CLP/ano
Dominio .cl + .com,NIC Chile / registrador,,23,0,23,21850
Correo corporativo,Google Workspace 2 usuarios,12,144,27.36,171.36,162792
Monitoreo errores,Sentry Team,26,312,59.28,371.28,352716
Analitica producto,PostHog / Plausible,9,108,20.52,128.52,122094
SUBTOTAL OTROS,,,587,107.16,694.16,659452
,,,,,,
RESUMEN TOTAL ANO 1,,,USD/ano,,,CLP/ano
Infra base,,,714,,,678300
API Anthropic (medio),,,1856.4,,,1763580
Otros costos,,,694.16,,,659452
TOTAL ANO 1,,,3264.56,,,3101332
,,,,,,
COSTOS OPERACIONALES (NO INFRA - REFERENCIA),Detalle,,,,,
Comision MercadoPago,~3.5% + IVA por transaccion,Se descuenta de ingresos por suscripcion,,,,
Fuentes de datos / scraping,Proxies o APIs si se ingestan fuentes externas,Evaluar segun fuentes (ej. Mercado Publico),,,,
,,,,,,
NOTAS,,,,,,
1,Todos los servicios son extranjeros: aplican 19% IVA digital (Ley 21.210).,,,,,
2,Cloudflare Pages hosting/SSL/CDN incluidos sin costo.,,,,,
3,Anthropic: aplicar prompt caching (-90%) y Batch API (-50%) para reducir costo.,,,,,
4,Supabase PITR (backups continuos) +100 USD/mes opcional - no incluido.,,,,,
5,Cifras estimadas; el costo real escala con usuarios y volumen de matching.,,,,,
